internship_id,company_name,role,domain,location,positions_available,stipend,duration_months,required_skills,preferred_skills,min_cgpa,preferred_branches,experience_required
INT050,Digital Dynamics,Web Developer Intern,Digital Transformation,Bangalore,2,27000,2,"SQL, REST APIs, HTML/CSS, Scikit-learn","React, Pandas, Docker, C++",6.9,"Electrical Engineering, Computer Science, Electronics and Communication",Preferred
INT051,PixelPerfect Studios,Mobile App Developer Intern,Frontend Development,Kolkata,3,33000,2,"Node.js, Pandas, HTML/CSS","REST APIs, JavaScript",7.9,"Electronics and Communication, Computer Science",Preferred
INT052,AI Innovations Lab,Cloud Engineer Intern,Artificial Intelligence,Noida,2,12000,3,"Angular, Spring Boot, Django, NumPy, Flask","REST APIs, Scikit-learn",7.9,"Mechanical Engineering, Electrical Engineering, Civil Engineering",Preferred
INT053,SecureNet Technologies,Web Developer Intern,Cybersecurity,Noida,2,30000,6,"SQL, Power BI, Redis, MongoDB, Jenkins","TensorFlow, Machine Learning, Scikit-learn, React",7.4,"Information Technology, Civil Engineering, Mechanical Engineering, Electronics and Communication",Not Required
INT054,CloudNine Systems,Frontend Developer Intern,Cloud Computing,Delhi,1,10000,2,"Python, AWS, Docker, Redis, Node.js, JavaScript","Data Analysis, Jenkins, Flask",7.9,"Civil Engineering, Mechanical Engineering, Electrical Engineering, Information Technology",Not Required
INT055,Innovate Systems,Data Science Intern,Enterprise Solutions,Chennai,3,40000,2,"Python, Flask, Node.js","Spring Boot, Angular",7.1,"Civil Engineering, Mechanical Engineering",Not Required
INT056,CloudScale Tech,Frontend Developer Intern,Cloud Infrastructure,Mumbai,4,49000,2,"Docker, Scikit-learn, Jenkins, PyTorch","C++, React",7.2,"Electronics and Communication, Computer Science",Preferred
INT057,Digital Dynamics,Frontend Developer Intern,Digital Transformation,Mumbai,2,39000,6,"REST APIs, Spring Boot, Jenkins, PyTorch, Vue.js","TensorFlow, React",6.8,"Computer Science, Electrical Engineering, Civil Engineering, Information Technology",Not Required
INT058,TechCorp Solutions,Cloud Engineer Intern,Software Development,Ahmedabad,1,20000,2,"Flask, Node.js, MongoDB, REST APIs, Spring Boot","Git, PostgreSQL, TensorFlow, Power BI",6.1,"Information Technology, Computer Science",Preferred
INT059,CyberShield Corp,Data Analyst Intern,Information Security,Gurugram,4,32000,2,"Flask, Docker, Kubernetes, REST APIs, Python, SQL","Machine Learning, Java",7.6,"Civil Engineering, Electrical Engineering, Computer Science, Information Technology",Preferred
INT060,CyberShield Corp,Backend Developer Intern,Information Security,Delhi,4,31000,2,"Kubernetes, PostgreSQL, Machine Learning, C++","Python, Java",6.9,"Civil Engineering, Mechanical Engineering, Electrical Engineering, Electronics and Communication",Not Required
INT061,Innovate Systems,Frontend Developer Intern,Enterprise Solutions,Chennai,5,31000,2,"NumPy, Redis, C++, Data Analysis, Django","HTML/CSS, PostgreSQL",7.7,"Information Technology, Electrical Engineering, Mechanical Engineering",Not Required
INT062,InfraCode Systems,Cybersecurity Intern,DevOps,Kolkata,2,38000,2,"Django, C++, Pandas, PyTorch, Data Analysis, Redis","Node.js, Java, HTML/CSS, Machine Learning",7.3,"Electrical Engineering, Electronics and Communication, Computer Science",Preferred
INT063,PixelPerfect Studios,Full Stack Developer Intern,Frontend Development,Bangalore,1,41000,3,"Angular, SQL, Power BI, Data Analysis, REST APIs","Vue.js, Flask",6.2,"Mechanical Engineering, Electrical Engineering, Electronics and Communication, Computer Science",Not Required
INT064,Analytics Pro,Cybersecurity Intern,Business Intelligence,Kolkata,5,42000,6,"Pandas, Django, Docker, Machine Learning, REST APIs","Power BI, JavaScript",6.1,"Mechanical Engineering, Electrical Engineering, Information Technology, Civil Engineering",Not Required
INT065,CloudNine Systems,Cloud Engineer Intern,Cloud Computing,Ahmedabad,5,25000,6,"Pandas, REST APIs, Django, SQL, Docker, AWS","JavaScript, Node.js",6.6,"Computer Science, Mechanical Engineering",Preferred
INT066,SmartData Corp,Cybersecurity Intern,Data Analysis,Noida,5,19000,3,"Power BI, Docker, Pandas, Python","TensorFlow, Java, Django",6.1,"Civil Engineering, Information Technology, Mechanical Engineering, Electrical Engineering",Not Required
INT067,Digital Dynamics,DevOps Intern,Digital Transformation,Chennai,4,47000,2,"PyTorch, Vue.js, NumPy, React, Redis, Java","Jenkins, Power BI",6.3,"Electronics and Communication, Mechanical Engineering",Not Required
INT068,SmartData Corp,Full Stack Developer Intern,Data Analysis,Ahmedabad,2,14000,2,"Python, Pandas, Redis, Django","Kubernetes, REST APIs, Angular",6.7,"Computer Science, Electronics and Communication, Information Technology, Electrical Engineering",Preferred
INT069,SecureNet Technologies,Frontend Developer Intern,Cybersecurity,Kolkata,4,11000,2,"PyTorch, Scikit-learn, Django","Jenkins, NumPy, SQL",6.8,"Computer Science, Information Technology, Electrical Engineering, Mechanical Engineering",Preferred
INT070,PixelPerfect Studios,Data Science Intern,Frontend Development,Hyderabad,4,31000,6,"React, NumPy, TensorFlow, Django","Scikit-learn, Angular, Data Analysis",7.2,"Civil Engineering, Mechanical Engineering, Electrical Engineering, Computer Science",Preferred
INT071,DataMinds Analytics,Full Stack Developer Intern,Data Science,Mumbai,1,41000,3,"C++, Jenkins, Machine Learning, Kubernetes, MongoDB, PyTorch","Java, Flask, Power BI",7.2,"Electrical Engineering, Mechanical Engineering, Electronics and Communication, Information Technology",Not Required
INT072,Analytics Pro,DevOps Intern,Business Intelligence,Delhi,4,25000,6,"Git, Node.js, Scikit-learn, JavaScript, Flask, AWS","Spring Boot, HTML/CSS, Python, Power BI",6.7,"Civil Engineering, Mechanical Engineering, Electrical Engineering",Not Required
INT073,AI Innovations Lab,Backend Developer Intern,Artificial Intelligence,Gurugram,4,29000,2,"Node.js, AWS, TensorFlow, Flask, PyTorch","Redis, JavaScript",6.5,"Electrical Engineering, Civil Engineering, Mechanical Engineering, Computer Science",Not Required
INT074,PixelPerfect Studios,Cybersecurity Intern,Frontend Development,Noida,2,15000,6,"React, SQL, Vue.js, MongoDB","Angular, Power BI, REST APIs, Machine Learning",6.2,"Computer Science, Electrical Engineering, Mechanical Engineering, Electronics and Communication",Preferred
INT075,MobileFirst Apps,ML Engineer Intern,Mobile Development,Mumbai,3,27000,6,"Power BI, Redis, Flask, Git, Docker","JavaScript, HTML/CSS, Kubernetes",6.5,"Mechanical Engineering, Electrical Engineering, Civil Engineering, Computer Science",Not Required
INT076,CodeCrafters Inc,Cloud Engineer Intern,Software Engineering,Noida,2,46000,2,"HTML/CSS, Angular, Jenkins","Data Analysis, Flask, AWS, Vue.js",6.8,"Mechanical Engineering, Electrical Engineering, Electronics and Communication, Information Technology",Preferred
INT077,NextGen Software,Full Stack Developer Intern,Full Stack Development,Pune,4,35000,2,"React, Python, TensorFlow, Angular, PostgreSQL","Kubernetes, SQL, Vue.js",6.9,"Electronics and Communication, Information Technology, Computer Science",Not Required
INT078,DataMinds Analytics,Backend Developer Intern,Data Science,Noida,5,44000,6,"TensorFlow, React, NumPy, Pandas, Power BI, AWS","REST APIs, HTML/CSS",6.6,"Information Technology, Electrical Engineering, Computer Science",Not Required
INT079,Analytics Pro,Frontend Developer Intern,Business Intelligence,Mumbai,4,48000,2,"Kubernetes, Angular, MongoDB, Spring Boot, TensorFlow, Git","Data Analysis, Java, Docker, NumPy",6.3,"Mechanical Engineering, Information Technology, Computer Science",Not Required
INT080,CloudNine Systems,Backend Developer Intern,Cloud Computing,Hyderabad,1,22000,2,"NumPy, Jenkins, PyTorch, MongoDB","Python, JavaScript",6.2,"Civil Engineering, Electronics and Communication",Preferred
INT081,NextGen Software,Frontend Developer Intern,Full Stack Development,Pune,5,44000,3,"TensorFlow, AWS, Django, Flask, React","HTML/CSS, Docker, Node.js, PostgreSQL",6.8,"Computer Science, Electronics and Communication, Information Technology",Not Required
INT082,TechVista Solutions,Backend Developer Intern,Product Development,Chennai,4,43000,2,"JavaScript, Power BI, Docker, NumPy, PyTorch","MongoDB, PostgreSQL, REST APIs, TensorFlow",7.4,"Electrical Engineering, Information Technology",Not Required
INT083,NextGen Software,Full Stack Developer Intern,Full Stack Development,Noida,4,25000,6,"Kubernetes, Jenkins, Pandas, Vue.js","Flask, Redis, Scikit-learn, NumPy",6.9,"Computer Science, Mechanical Engineering, Information Technology",Not Required
INT084,NextGen Software,Software Developer Intern,Full Stack Development,Delhi,5,49000,6,"Redis, Jenkins, Power BI","Git, React, Machine Learning, REST APIs",6.6,"Mechanical Engineering, Information Technology, Civil Engineering",Not Required
INT085,Analytics Pro,Backend Developer Intern,Business Intelligence,Bangalore,4,43000,3,"AWS, NumPy, Docker","Git, Pandas",7.1,"Computer Science, Electrical Engineering, Civil Engineering, Mechanical Engineering",Preferred
INT086,Innovate Systems,Data Science Intern,Enterprise Solutions,Noida,1,49000,3,"Jenkins, Python, SQL, Pandas","TensorFlow, MongoDB, React, Node.js",6.2,"Electrical Engineering, Computer Science, Civil Engineering",Preferred
INT087,SmartData Corp,Mobile App Developer Intern,Data Analysis,Kolkata,2,29000,6,"Git, Vue.js, Node.js, React, Java","TensorFlow, Docker",6.9,"Electrical Engineering, Information Technology",Preferred
INT088,SmartData Corp,Software Developer Intern,Data Analysis,Gurugram,2,28000,2,"HTML/CSS, React, Django, MongoDB","Angular, JavaScript, Flask, Python",6.5,"Mechanical Engineering, Electronics and Communication, Civil Engineering, Electrical Engineering",Preferred
INT089,InfraCode Systems,Data Science Intern,DevOps,Pune,2,13000,2,"TensorFlow, Data Analysis, SQL, Redis, Flask","REST APIs, Django",6.7,"Civil Engineering, Information Technology, Electrical Engineering, Computer Science",Not Required
INT090,CloudScale Tech,Cybersecurity Intern,Cloud Infrastructure,Noida,5,39000,2,"Machine Learning, Python, Data Analysis, Power BI","C++, Java",7.8,"Mechanical Engineering, Electrical Engineering",Not Required
INT091,Analytics Pro,ML Engineer Intern,Business Intelligence,Hyderabad,3,25000,2,"AWS, Spring Boot, PyTorch, MongoDB, Power BI, Git","Flask, Data Analysis, Pandas",6.8,"Information Technology, Mechanical Engineering, Electronics and Communication",Not Required
INT092,ByteStream Solutions,Frontend Developer Intern,Backend Development,Chennai,3,45000,2,"Docker, C++, Node.js, Power BI, HTML/CSS","Pandas, React, Git",7.8,"Civil Engineering, Information Technology",Preferred
INT093,CloudScale Tech,Mobile App Developer Intern,Cloud Infrastructure,Bangalore,5,27000,2,"Vue.js, Java, Jenkins, React, JavaScript, Flask","Kubernetes, SQL",6.4,"Information Technology, Electrical Engineering, Computer Science",Not Required
INT094,Innovate Systems,Data Analyst Intern,Enterprise Solutions,Gurugram,5,31000,6,"PyTorch, Data Analysis, Kubernetes, Docker","SQL, Redis, Spring Boot",6.1,"Civil Engineering, Electrical Engineering",Preferred
INT095,ByteStream Solutions,DevOps Intern,Backend Development,Delhi,5,17000,2,"Flask, REST APIs, MongoDB, NumPy, Vue.js, Power BI","TensorFlow, Jenkins, JavaScript",7.9,"Computer Science, Electrical Engineering",Not Required
INT096,SecureNet Technologies,ML Engineer Intern,Cybersecurity,Mumbai,4,30000,6,"Java, Python, Vue.js","Power BI, Django, Machine Learning",6.8,"Mechanical Engineering, Electronics and Communication",Not Required
INT097,MobileFirst Apps,ML Engineer Intern,Mobile Development,Noida,4,47000,2,"React, Node.js, Vue.js, Redis, Power BI","Python, PostgreSQL, Java, TensorFlow",7.3,"Mechanical Engineering, Electrical Engineering",Preferred
INT098,ByteStream Solutions,Frontend Developer Intern,Backend Development,Bangalore,4,42000,2,"Power BI, Pandas, Django, Angular, AWS, C++","Redis, MongoDB",6.4,"Information Technology, Computer Science, Civil Engineering",Not Required
INT099,DataMinds Analytics,Software Developer Intern,Data Science,Kolkata,2,50000,2,"TensorFlow, PostgreSQL, Scikit-learn, Git, Spring Boot","AWS, Django, Data Analysis",6.8,"Mechanical Engineering, Computer Science, Electrical Engineering, Civil Engineering",Not Required
INT100,InfraCode Systems,DevOps Intern,DevOps,Mumbai,2,28000,3,"Spring Boot, SQL, MongoDB, Node.js, Vue.js, Data Analysis","AWS, Jenkins, Scikit-learn",6.8,"Electronics and Communication, Computer Science, Electrical Engineering, Information Technology",Preferred
INT101,MobileFirst Apps,Frontend Developer Intern,Mobile Development,Delhi,4,30000,3,"Django, Redis, JavaScript, Jenkins","Git, React, Power BI, Scikit-learn",7.7,"Mechanical Engineering, Civil Engineering, Electrical Engineering",Not Required
INT102,CloudScale Tech,Frontend Developer Intern,Cloud Infrastructure,Noida,4,30000,3,"Java, Kubernetes, Power BI","Jenkins, Machine Learning, PostgreSQL, AWS",7.5,"Information Technology, Civil Engineering",Preferred
INT103,PixelPerfect Studios,Cloud Engineer Intern,Frontend Development,Pune,2,15000,2,"Node.js, PyTorch, React, Django","Jenkins, Flask",6.7,"Civil Engineering, Electronics and Communication, Information Technology",Not Required
INT104,AI Innovations Lab,Web Developer Intern,Artificial Intelligence,Ahmedabad,4,36000,2,"JavaScript, Data Analysis, React, Power BI, Git","Machine Learning, Java, MongoDB",7.2,"Computer Science, Civil Engineering, Electrical Engineering",Not Required
INT105,Innovate Systems,ML Engineer Intern,Enterprise Solutions,Bangalore,5,45000,2,"Python, REST APIs, Redis","HTML/CSS, Vue.js",7.5,"Electrical Engineering, Information Technology, Civil Engineering",Not Required
INT106,SmartData Corp,Software Developer Intern,Data Analysis,Delhi,3,46000,3,"Pandas, Machine Learning, Python, Docker","Kubernetes, Redis, Vue.js",7.6,"Civil Engineering, Computer Science",Preferred
INT107,TechVista Solutions,Cloud Engineer Intern,Product Development,Hyderabad,3,41000,3,"Angular, REST APIs, Python, Java, Docker, TensorFlow","Flask, AWS",6.9,"Mechanical Engineering, Civil Engineering, Electronics and Communication",Preferred
INT108,ByteStream Solutions,Full Stack Developer Intern,Backend Development,Mumbai,5,50000,3,"TensorFlow, Git, Node.js, PyTorch","Jenkins, HTML/CSS, Python, REST APIs",6.7,"Information Technology, Electronics and Communication, Mechanical Engineering, Computer Science",Not Required
INT109,SecureNet Technologies,Full Stack Developer Intern,Cybersecurity,Kolkata,5,19000,2,"Django, Docker, PostgreSQL, Jenkins","Pandas, MongoDB",7.3,"Electrical Engineering, Mechanical Engineering, Information Technology",Not Required
INT110,DataMinds Analytics,Mobile App Developer Intern,Data Science,Pune,4,21000,2,"Machine Learning, Spring Boot, PyTorch, Git","Docker, C++, Java",6.7,"Civil Engineering, Mechanical Engineering, Computer Science",Not Required
INT111,NextGen Software,Cloud Engineer Intern,Full Stack Development,Kolkata,2,42000,6,"Redis, PostgreSQL, PyTorch, TensorFlow, Vue.js, Jenkins","Spring Boot, Node.js, Machine Learning",7.9,"Electronics and Communication, Computer Science, Information Technology, Electrical Engineering",Preferred
INT112,CyberShield Corp,Frontend Developer Intern,Information Security,Delhi,5,37000,6,"Git, Kubernetes, JavaScript, MongoDB, Angular","Django, Java, Spring Boot",8.0,"Electrical Engineering, Information Technology",Preferred
INT113,Analytics Pro,Web Developer Intern,Business Intelligence,Gurugram,1,17000,3,"Machine Learning, AWS, Git, NumPy","Power BI, React",7.3,"Mechanical Engineering, Electrical Engineering",Preferred
INT114,ByteStream Solutions,Cybersecurity Intern,Backend Development,Noida,5,10000,2,"Node.js, Power BI, Kubernetes, Python","Docker, Machine Learning",6.2,"Information Technology, Computer Science, Civil Engineering",Preferred
INT115,ByteStream Solutions,Data Analyst Intern,Backend Development,Delhi,3,19000,2,"Power BI, SQL, MongoDB","Vue.js, Jenkins, PostgreSQL",6.4,"Electronics and Communication, Computer Science",Not Required
INT116,SecureNet Technologies,Data Science Intern,Cybersecurity,Bangalore,4,12000,2,"C++, Pandas, REST APIs, Power BI","TensorFlow, SQL, Java",7.7,"Civil Engineering, Electronics and Communication",Preferred
INT117,ByteStream Solutions,Data Science Intern,Backend Development,Ahmedabad,4,50000,3,"PyTorch, NumPy, Vue.js, Scikit-learn, Python, Kubernetes","Java, Jenkins, React, PostgreSQL",7.2,"Computer Science, Mechanical Engineering, Civil Engineering, Information Technology",Preferred
INT118,MobileFirst Apps,ML Engineer Intern,Mobile Development,Pune,3,43000,2,"SQL, Kubernetes, Scikit-learn, TensorFlow, Power BI","C++, HTML/CSS, JavaScript",6.6,"Mechanical Engineering, Electronics and Communication, Electrical Engineering, Civil Engineering",Not Required
